Latitude,Longitude,Elevation
41.71428000,-88.0017600,230.0
41.71416000,-88.0017500,230.0
41.71403000,-88.0017600,229.0
41.71388000,-88.0017700,228.0
41.71375000,-88.0017800,228.0
41.71367000,-88.0017800,228.0
41.71353000,-88.0017700,228.0
41.71346000,-88.0017600,229.0
41.71341000,-88.0017300,229.0
41.71339000,-88.0017100,229.0
41.71329000,-88.0017000,229.0
41.71324000,-88.0017300,229.0
41.71283000,-88.0023200,227.0
41.71254000,-88.0027700,230.0
41.71252000,-88.0027800,230.0
41.71249000,-88.0027800,231.0
41.71245000,-88.0027400,231.0
41.71241000,-88.0027300,231.0
41.71235000,-88.0026800,232.0
41.71225000,-88.0026600,233.0
41.71219000,-88.0026700,233.0
41.71209000,-88.0026800,234.0
41.71202000,-88.0027000,235.0
41.71193000,-88.0027200,236.0
41.71184000,-88.0027800,236.0
41.71171000,-88.0029000,236.0
41.71166000,-88.0029700,237.0
41.71155000,-88.0031200,237.0
41.71148000,-88.0032100,237.0
41.71141000,-88.0032500,237.0
41.71132000,-88.0032600,237.0
41.71123000,-88.0032500,238.0
41.71114000,-88.0032400,238.0
41.71099000,-88.0032000,239.0
41.71081000,-88.0031400,240.0
41.71061000,-88.0030600,241.0
41.71038000,-88.0029300,242.0
41.71022000,-88.0028700,242.0
41.71005000,-88.0028300,242.0
41.70988000,-88.0027900,243.0
41.70967000,-88.0027300,244.0
41.70956000,-88.0026800,243.0
41.70948000,-88.0025900,244.0
41.70939000,-88.0024700,244.0
41.70933000,-88.0023700,244.0
41.70924000,-88.0022700,243.0
41.70911000,-88.0021600,243.0
41.70903000,-88.0021100,242.0
41.70893000,-88.0020700,242.0
41.70877000,-88.0019900,241.0
41.70867000,-88.0019100,241.0
41.70860000,-88.0018600,241.0
41.70854000,-88.0018400,241.0
41.70843000,-88.0018300,240.0
41.70819000,-88.0018100,239.0
41.70794000,-88.0018000,239.0
41.70785000,-88.0018000,238.0
41.70779000,-88.0018100,238.0
41.70774000,-88.0018600,238.0
41.70768000,-88.0019600,239.0
41.70767000,-88.0020900,240.0
41.70769000,-88.0023200,241.0
41.70769000,-88.0030000,240.0
41.70767000,-88.0031200,239.0
41.70765000,-88.0031900,239.0
41.70761000,-88.0032300,239.0
41.70751000,-88.0033100,239.0
41.70734000,-88.0033600,239.0
41.70722000,-88.0033700,239.0
41.70718000,-88.0033700,239.0
41.70683000,-88.0033600,239.0
41.70612000,-88.0033700,240.0
41.70598000,-88.0033900,240.0
41.70591000,-88.0034100,240.0
41.70586000,-88.0034300,240.0
41.70580000,-88.0034600,240.0
41.70573000,-88.0035400,240.0
41.70567000,-88.0035900,240.0
41.70561000,-88.0036200,240.0
41.70554000,-88.0036300,240.0
41.70542000,-88.0036400,240.0
41.70533000,-88.0036500,240.0
41.70517000,-88.0036500,240.0
41.70509000,-88.0036600,240.0
41.70504000,-88.0036700,240.0
41.70498000,-88.0037000,240.0
41.70493000,-88.0037400,240.0
41.70489000,-88.0037500,240.0
41.70481000,-88.0037600,240.0
41.70471000,-88.0037500,240.0
41.70449000,-88.0036500,240.0
41.70421000,-88.0035100,238.0
41.70399000,-88.0034700,237.0
41.70384000,-88.0033500,236.0
41.70380000,-88.0031400,237.0
41.70379000,-88.0028700,239.0
41.70390000,-88.0026800,240.0
41.70397000,-88.0024400,240.0
41.70398000,-88.0023800,240.0
41.70404000,-88.0020000,240.0
41.70397000,-88.0017300,241.0
41.70388000,-88.0015400,240.0
41.70385000,-88.0013700,239.0
41.70386000,-88.0012500,239.0
41.70386000,-88.0011900,239.0
41.70385000,-88.0011400,239.0
41.70371000,-88.0010300,238.0
41.70368000,-88.0010000,237.0
41.70350000,-88.0009000,235.0
41.70340000,-88.0008700,234.0
41.70329000,-88.0008800,233.0
41.70323000,-88.0008800,233.0
41.70319000,-88.0008700,233.0
41.70315000,-88.0008500,232.0
41.70313000,-88.0007900,232.0
41.70311000,-88.0007100,232.0
41.70309000,-88.0004700,233.0
41.70306000,-88.0002900,233.0
41.70294000,-87.9996100,232.0
41.70292000,-87.9994800,232.0
41.70288000,-87.9994000,231.0
41.70284000,-87.9993600,231.0
41.70279000,-87.9993100,231.0
41.70274000,-87.9992800,231.0
41.70265000,-87.9992700,230.0
41.70244000,-87.9992600,229.0
41.70237000,-87.9992600,229.0
41.70231000,-87.9992700,229.0
41.70221000,-87.9993100,229.0
41.70212000,-87.9993500,229.0
41.70205000,-87.9993600,229.0
41.70189000,-87.9993100,229.0
41.70181000,-87.9992800,229.0
41.70172000,-87.9992600,229.0
41.70159000,-87.9992500,229.0
41.70141000,-87.9992400,229.0
41.70111000,-87.9992100,228.0
41.70110000,-87.9992100,228.0
41.70042000,-87.9991900,227.0
41.70028000,-87.9991800,227.0
41.70021000,-87.9992000,226.0
41.70013000,-87.9992900,226.0
41.70006000,-87.9993500,226.0
41.69999000,-87.9994400,225.0
41.69995000,-87.9995300,225.0
41.69988000,-87.9996200,224.0
41.69980000,-87.9996700,224.0
41.69971000,-87.9996900,224.0
41.69960000,-87.9996700,224.0
41.69952000,-87.9996300,224.0
41.69948000,-87.9995900,224.0
41.69938000,-87.9993800,224.0
41.69927000,-87.9990000,225.0
41.69913000,-87.9984700,225.0
41.69907000,-87.9981500,225.0
41.69900000,-87.9977700,225.0
41.69892000,-87.9972400,226.0
41.69883000,-87.9968200,226.0
41.69866000,-87.9960200,228.0
41.69862000,-87.9958300,228.0
41.69856000,-87.9956300,228.0
41.69850000,-87.9955100,228.0
41.69842000,-87.9953700,229.0
41.69836000,-87.9953000,229.0
41.69825000,-87.9952100,230.0
41.69811000,-87.9950900,230.0
41.69807000,-87.9950700,230.0
41.69801000,-87.9950400,230.0
41.69798000,-87.9950600,230.0
41.69702000,-87.9953700,229.0
41.69691000,-87.9953100,229.0
41.69686000,-87.9952700,228.0
41.69684000,-87.9952300,228.0
41.69681000,-87.9951600,228.0
41.69679000,-87.9950600,228.0
41.69678000,-87.9949600,228.0
41.69678000,-87.9948400,228.0
41.69680000,-87.9935800,226.0
41.69682000,-87.9922600,225.0
41.69682000,-87.9920800,225.0
41.69683000,-87.9916700,226.0
41.69685000,-87.9915700,227.0
41.69689000,-87.9914600,227.0
41.69692000,-87.9913600,226.0
41.69695000,-87.9912000,226.0
41.69694000,-87.9905000,226.0
41.69696000,-87.9898100,223.0
41.69698000,-87.9895200,224.0
41.69702000,-87.9883000,224.0
41.69700000,-87.9874600,223.0
41.69706000,-87.9870700,221.0
41.69707000,-87.9869400,220.0
41.69707000,-87.9868300,220.0
41.69704000,-87.9867600,220.0
41.69701000,-87.9867100,220.0
41.69698000,-87.9866900,220.0
41.69695000,-87.9866700,220.0
41.69667000,-87.9866400,218.0
41.69661000,-87.9866200,218.0
41.69655000,-87.9865700,218.0
41.69651000,-87.9864900,218.0
41.69648000,-87.9864000,218.0
41.69648000,-87.9863100,218.0
41.69647000,-87.9862300,218.0
41.69644000,-87.9861700,218.0
41.69639000,-87.9861200,218.0
41.69631000,-87.9860900,218.0
41.69622000,-87.9860700,218.0
41.69612000,-87.9860400,218.0
41.69602000,-87.9859600,219.0
